what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336335053873
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336335247557
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336335312360
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336335673829
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336335681207
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336336014032
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1336336023099
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336336026104
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336336027548
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1336336027558
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336336034410
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336336034517
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336336034578
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336336037589
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336336037625
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1336336037673
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336336042056
error,log,,,"WARNING: Blocked recursive attempt to close part com.android.ide.eclipse.editors.CommonXmlEditor while still in the middle of activating it",1336336042110
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336336043579
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1336336043688
closed,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1336336048019
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336336049739
closed,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1336336049739
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336336054664
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1336336056353
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336336062573
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336336063938
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336336064049
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1336336064056
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336336080648
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336336087880
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336336209220
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336336214106
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336336352810
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1336336354868
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1336336364336
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1336336371382
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1336336384952
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336336385680
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336336387834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336336394088
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336336398275
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336336417771
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336336424361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336336467338
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336336853788
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1336336867922
